Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
O1_KO_1_1										19.44199188087593	5.1648655784674675	9.559114470338406	3.059712650219977	3.8740421767195916	0.9775307260248624	5.404495030178435
O1_KO_1_2										17.905141861283354	4.746059697298124	9.073081554267834	2.6855934539937887	4.681998121195759	1.6918961567332094	3.5489037646100883
O1_KO_2_1										20.839578793221825	5.269891619689961	9.636822995857642	3.0122657661664216	3.675274944878649	0.7841828568716249	5.304110446805083
O1_KO_2_2										18.424010131067035	4.621013890299337	8.80997140936293	2.6403361366744025	4.078874163536059	1.6382841383225721	3.50224604228661
O1_OE_1_1										19.88505384287656	5.026611425654234	9.37220712471207	2.986932994104225	3.540858443037477	0.7631600353126011	5.426777573591323
O1_OE_1_2										18.397454796608866	4.76255494333299	9.060269495639389	2.6212616720365154	4.250250538380672	1.7153277903791897	3.559490792316986
O1_OE_2_1										20.84107812597156	5.217069697323626	9.400440238334705	2.5888381585997675	2.8666751560791686	0.49741124178159185	4.070174625865746
O1_OE_2_2										19.053429162773586	4.872068725873436	8.813639045173478	2.3348171298011833	3.690596224459753	1.3940085817069345	2.385090310474697
O2W4_KO_1_1										22.625512255097757	5.982619411738764	9.738989830637761	2.8561652170811516	3.47912376794953	0.6304984766073938	4.51869744084927
O2W4_KO_1_2										21.400079055463994	5.274970374527232	9.129423722406944	2.6928189245834937	4.1131737479779025	1.4171156574770154	3.2754245766989736
O2W4_KO_2_1										22.01444255989006	5.840549556984598	9.959115519880916	3.1443040746279767	3.9096709721513285	0.6727990883985481	4.557123695768057
O2W4_KO_2_2										20.37108115974867	4.967837125465908	9.101282802987859	2.847120955362043	4.27769111618647	1.3610453018719224	3.1767921709040157
O2_KO_1_1										19.635341572099378	5.217117156416404	9.695446936208388	3.0279295842782377	3.430757480675161	0.7326796845158017	4.37445817368141
O2_KO_1_2										18.710100438246673	4.931184196367647	9.335542878604445	2.702567335821476	4.387037473857417	1.440195064816639	2.830074851434132
O2_KO_2_1										19.17689696344439	5.117960422366872	9.706080607922969	3.132570953041981	4.654812747774628	0.9626171457894662	7.028763898637676
O2_KO_2_2										16.990166671275944	4.624811592367804	8.97259631918052	2.9818175606116886	5.039717212117862	2.0363698227425013	5.059677383715924
W4_KO_1_1										21.446185445202204	5.70991391323961	9.952751657627026	3.022862964818538	3.8074700927231255	0.7135864906255457	4.87534609040803
W4_KO_1_2										20.03087707743545	5.020483550956101	9.487123773404852	2.8477916769692926	4.568044864076314	1.401487393943178	3.380717730074487
W4_KO_2_1										21.273997578747565	5.343435886959456	9.535069471347366	2.925533865645711	3.3028548807676104	0.6906119221873476	4.7217091545331895
W4_KO_2_2										19.41418070238461	4.767866753672398	8.941058277617236	2.550507761970808	4.0163008749010745	1.408698505486202	3.2612917695828134
W4_OE_1_1										19.302635201127096	5.406265784010295	10.272284509926092	3.403282625925014	4.736561386640275	0.8917654617451563	6.697119812967934
W4_OE_1_2										17.62277698186891	5.017939739566528	9.903696769973932	3.171857835474645	5.102448723856134	1.8012204276336736	4.778650765816796
W4_OE_2_1										19.959504443501267	5.069999690904045	9.817357359456842	3.117914096081389	3.5492553744872257	0.8144589827897712	5.487116824550978
W4_OE_2_2										17.947486958779116	4.720922458572745	9.309704938059147	2.5876733264642686	4.184239750175952	1.6546106018699214	3.8019650862295777
