O1W4_KO_1_2	669.0	595.0	484.0	474.0	587.0	5457.5	23040.5	25783.5	41273.0	45083.0	26309.0	75055.5	97246.5	66918.0	66649.5	67256.5	78426.0	73529.5	81877.0	95774.5	80052.0	100763.0	162813.5	200350.5	198369.5	204196.0	248322.5	310582.5	376281.5	445357.5	479608.0	519876.5	601074.5	584017.5	528975.5	515661.0	515388.5	505682.5	500675.0	531812.5	546593.5	585941.5	632382.0	667758.0	715033.5	787453.0	865182.0	979269.5	1074036.5	1131426.5	1230906.5	1368412.0	1493494.0	1568326.5	1654787.0	1740642.0	1790224.5	1809111.5	1753607.5	1661787.0	1542752.5	1371430.0	1168889.0	968562.0	798789.5	642643.5	490102.0	355346.0	260072.0	191982.0	131480.5	86789.0	58580.5	42199.0	30622.0	19259.5	11514.0	6787.0	3819.0	2289.5	1450.5	723.0	400.0	254.0	197.0	173.5	174.0	162.5	152.5	146.0	142.0	139.0	136.5	144.0	148.5	137.0	143.5	167.5	178.5	217.5	895.5
O1W4_KO_2_1	622.0	855.0	1157.0	1138.0	975.5	825.5	847.0	7696.5	13685.5	10372.5	20047.5	37280.0	50205.5	50944.5	94149.5	148639.0	116988.5	67532.0	42581.0	46402.0	66232.5	137058.0	326121.5	580441.0	494315.0	249976.0	240534.0	287660.5	345133.0	458242.5	563128.0	554533.5	556128.0	632709.5	778096.0	769795.5	616372.0	550324.0	561913.5	606484.0	631938.5	624679.0	623051.5	656973.0	696143.0	742827.0	795064.0	881355.5	988502.5	1070151.5	1164135.5	1295899.0	1453016.5	1582833.0	1665585.5	1742163.5	1804702.5	1830899.5	1824264.0	1769884.0	1646991.0	1482760.0	1304134.5	1100643.5	890565.5	706633.0	542687.5	397467.0	285858.0	211658.5	152735.5	104107.0	70564.5	49578.0	36028.5	23935.0	13663.5	7616.0	3741.0	1963.0	1019.5	556.5	231.5	82.0	49.5	38.0	29.0	22.5	19.5	18.0	16.0	10.5	10.0	11.0	11.5	19.0	25.0	32.0	62.5	47.0	3.5
O1W4_KO_2_2	725.0	670.0	609.0	644.5	875.5	7143.5	28812.0	31779.0	48480.0	53718.0	34383.0	90108.0	114653.0	80419.0	92289.0	99992.5	110857.5	103788.5	110548.5	127626.5	104722.5	127840.0	204833.0	252554.5	250211.0	252294.5	299192.5	369810.5	434609.0	506317.5	554252.5	604531.5	689473.5	646209.0	574467.5	554034.0	541141.5	536377.0	537433.5	572858.5	587427.0	628921.5	678051.5	713038.0	761690.0	839569.0	923294.5	1047784.0	1144132.5	1190683.0	1288171.5	1431317.0	1556316.0	1618140.0	1693905.5	1785057.5	1837066.5	1850152.0	1784139.5	1679166.5	1553150.5	1379204.0	1172839.5	967900.5	795302.0	636012.0	480229.0	346511.5	253043.0	185957.0	128124.0	86123.5	59251.0	43238.0	32135.0	20788.5	12311.0	7161.0	3990.0	2334.0	1581.0	941.5	590.0	411.5	383.0	393.5	380.0	368.5	334.0	336.0	350.0	354.5	362.5	351.5	365.5	383.5	401.0	437.5	517.0	675.0	1732.0
O1W4_OE_1_1	873.0	1027.0	1120.0	1025.5	953.0	931.5	1004.5	4040.5	8491.0	8536.0	17110.5	29762.0	35282.0	36400.0	74645.5	118112.5	92764.5	55795.5	38555.0	40796.0	60512.5	131693.0	304018.0	516911.0	437716.5	241942.5	245916.0	289057.0	345742.0	461019.5	555111.0	551732.5	568273.5	650851.5	789565.5	775675.5	637719.5	583731.0	594786.0	631711.5	647262.0	640188.0	647074.0	672993.5	706821.0	751776.5	799247.5	878890.5	976892.0	1063445.0	1159736.5	1285867.5	1436942.5	1565267.5	1652372.0	1723774.0	1779404.5	1806296.0	1797711.0	1743102.0	1617214.5	1450897.5	1275740.5	1077428.5	871600.0	691856.5	535509.0	396385.0	285123.5	208599.0	148845.5	100530.5	67888.5	46162.5	32747.0	20216.0	11343.5	7367.0	4176.0	2325.5	1190.5	619.0	234.5	89.0	54.0	43.0	29.0	22.0	16.5	16.5	16.5	11.0	10.0	13.5	14.0	12.5	14.5	28.5	50.5	30.5	2.0
O1W4_OE_1_2	650.0	548.5	408.0	389.0	594.5	7856.5	31176.0	33824.5	50808.0	55074.0	31029.0	84207.0	109585.0	74683.5	70296.5	71223.5	86792.5	83174.0	97173.5	111018.5	91705.5	116174.0	176089.5	214720.0	220483.0	234842.0	289142.5	357748.0	418935.0	485040.5	531877.5	583234.0	654644.5	627202.0	573546.5	563536.5	565046.5	563218.5	566870.0	596593.0	611387.5	648963.0	687317.5	719230.0	766157.5	839706.5	915711.5	1026562.5	1118921.0	1174574.5	1275979.5	1411176.5	1534569.0	1607081.0	1691657.5	1780796.0	1826215.0	1836613.0	1772420.5	1674507.5	1552120.5	1378165.5	1170709.5	965992.5	795503.5	637217.5	485466.5	354704.0	259617.5	188154.5	127652.0	84648.5	56853.0	40389.0	29308.5	18283.0	11359.5	7305.0	4315.5	2513.5	1721.5	899.5	483.0	323.5	261.0	239.0	222.5	211.0	192.5	168.5	184.0	185.5	170.5	156.5	166.0	189.5	200.5	238.0	283.5	378.0	1350.0
O1W4_OE_2_1	687.0	785.0	904.5	886.0	813.5	785.0	929.0	7133.5	12585.5	9637.0	17761.0	32220.5	41833.5	44842.5	85261.0	130626.5	100635.0	57122.5	38920.0	45200.5	67172.5	142112.5	316952.0	550384.5	483460.5	268133.0	263215.0	311914.0	373740.5	485701.0	588435.0	593378.5	604938.0	690570.0	849134.0	836398.0	678824.5	620788.0	633531.5	676855.0	700517.5	690516.0	691822.0	722192.5	759028.0	803834.0	853044.5	940080.5	1050430.5	1142709.5	1242936.0	1378514.0	1546271.0	1686959.5	1781011.5	1862084.0	1927126.5	1965742.5	1967691.5	1918136.5	1785820.0	1605293.0	1419125.0	1203080.0	973969.5	773866.5	599456.0	446249.0	322500.5	236268.5	168768.0	115209.0	78937.0	53965.0	38602.5	24360.0	13790.0	8746.0	4764.0	2653.5	1482.0	771.0	296.0	117.5	69.5	55.0	42.5	25.5	21.0	24.0	22.5	16.0	14.0	11.5	10.0	14.5	23.0	42.0	79.0	54.0	3.0
O1W4_OE_2_2	698.0	551.0	403.5	427.0	613.0	6372.5	25350.0	27925.0	43165.5	46827.0	27774.5	76245.0	98253.0	69275.5	77316.5	82391.5	96034.5	89972.0	100381.0	115598.0	93647.0	118303.5	186708.0	231057.0	237368.0	251276.5	305203.5	380439.5	453019.0	531536.0	580497.5	634789.0	725248.5	699960.5	644471.5	625321.0	608673.5	600036.5	602333.5	635166.0	647120.5	684183.0	728692.5	763754.0	813004.5	893824.5	977435.0	1102505.0	1204715.5	1259129.5	1371146.5	1527461.5	1663699.5	1735553.0	1826323.5	1930044.0	1986322.5	2007008.5	1945159.0	1843259.0	1712366.5	1524705.0	1303677.0	1080569.5	889086.0	714194.0	546763.0	400434.5	294104.0	214660.0	145355.0	96971.5	65843.0	47609.0	35326.0	21845.5	13339.5	8483.0	4986.5	2945.5	1978.5	999.0	557.5	366.0	296.5	266.0	243.0	228.5	236.0	221.0	202.5	196.0	187.0	187.0	197.0	220.0	232.5	237.0	282.5	387.0	1375.0
O1_KO_1_1	444.0	749.0	1160.0	1213.0	1123.0	1027.0	1069.0	5018.5	9639.5	8797.0	16125.0	30284.0	40863.5	40891.5	76405.0	121439.0	93304.5	51278.0	35155.5	41033.5	59895.5	122301.5	270381.5	454894.5	393570.5	229812.0	240053.0	286077.0	337664.0	440200.0	531461.0	534343.0	547902.0	614127.0	728887.0	714018.5	590441.0	542877.0	555457.0	590382.0	606222.5	602164.0	609372.0	636182.0	669284.5	715149.0	766779.0	846950.5	944621.0	1028456.0	1122179.0	1245056.5	1386432.5	1499735.0	1580589.0	1655307.0	1707477.0	1722199.0	1709294.0	1654287.5	1536533.5	1373462.5	1201222.0	1019096.5	822857.0	652365.5	505751.0	373469.0	268835.0	196436.5	140215.0	95630.0	63829.0	42918.5	28225.0	17494.5	11760.5	7670.0	3883.0	2071.5	1124.5	564.0	211.5	79.5	47.5	33.0	26.0	20.0	14.5	8.5	9.0	9.0	10.0	10.0	7.5	10.0	12.5	16.0	35.5	26.5	1.5
O1_KO_1_2	505.0	426.0	341.5	369.5	567.0	6023.0	24929.0	27444.5	41444.0	45983.0	27362.5	67567.5	89786.0	63462.0	64782.5	68557.5	76742.5	72647.0	83781.0	98648.0	82930.5	104129.0	156914.0	195311.0	208756.5	221109.0	269688.5	335561.0	397289.5	459663.5	497661.0	549108.5	624658.5	601449.0	555630.0	543916.5	535433.5	528146.5	529945.5	557389.0	571681.0	614720.0	655381.5	683698.0	731070.5	801345.5	871618.5	971918.5	1064517.5	1128206.0	1223085.0	1353609.0	1472807.0	1546399.5	1628455.0	1709122.5	1750521.0	1750717.0	1691204.0	1602120.5	1480248.5	1307589.0	1113511.0	925009.5	760191.0	610021.0	465199.5	337372.5	246280.5	179847.0	122699.5	81645.0	55211.5	38539.5	26042.0	16722.0	11215.5	7053.0	4035.5	2236.5	1388.0	714.0	401.0	256.0	208.5	182.0	153.5	125.0	123.0	114.5	106.5	122.0	127.0	129.5	127.5	134.0	156.5	170.0	199.5	245.5	778.5
O1_KO_2_1	483.0	669.5	940.0	955.5	884.5	870.5	915.5	3391.5	5877.0	5400.0	11679.5	20947.0	30740.0	32657.5	57812.5	100411.5	79905.5	43246.5	33053.5	36680.0	53943.0	119378.0	265005.5	472245.5	406959.0	213971.0	224620.5	268311.0	320885.5	426194.5	515801.5	518635.5	532687.5	608455.0	781502.0	763690.5	592362.0	542014.5	552477.5	595358.5	621349.5	614781.5	615433.0	647999.5	686982.5	733783.5	785591.5	866344.5	970634.0	1067265.5	1173099.0	1307669.5	1459126.0	1583866.0	1677919.5	1761940.0	1821889.5	1845824.0	1840976.5	1790892.0	1668996.0	1496906.0	1318336.5	1122356.5	906883.0	722532.0	563857.0	416138.5	299769.5	220471.0	158130.0	108515.0	72619.5	48485.0	31604.5	19596.0	13006.0	8490.5	4339.0	2253.0	1171.0	604.0	238.5	73.0	38.5	22.5	20.5	19.5	13.5	9.0	8.0	7.0	6.0	7.5	8.0	8.0	10.5	14.0	27.0	20.5	1.5
O1_KO_2_2	573.0	492.5	397.0	379.5	516.0	5538.5	22145.0	24603.5	40395.0	44449.5	26593.5	75363.5	95046.5	63434.5	62186.5	66630.5	83979.0	76601.0	87391.0	101460.5	82637.5	105010.0	165904.0	201987.5	200125.0	210617.5	260346.0	328766.0	391932.0	461476.5	500214.5	533250.5	616791.5	604259.0	550812.0	539613.0	529975.5	522401.0	526749.0	557229.5	575192.5	619333.5	666017.0	698918.0	745804.5	820925.5	896025.0	1004880.5	1108377.0	1177539.0	1280145.5	1421814.0	1553054.0	1635468.5	1725368.0	1816535.0	1868005.0	1875851.5	1814574.5	1721892.0	1598607.0	1419213.0	1212995.5	1008417.5	831048.0	670582.5	514682.5	376477.0	275228.5	200694.0	137810.0	92613.0	62796.0	43628.0	28965.0	18560.5	12538.0	7777.5	4512.0	2506.0	1564.5	827.0	445.0	271.5	218.5	195.5	170.5	158.0	153.5	149.0	136.5	130.0	129.0	131.0	146.5	162.0	170.5	201.5	223.5	264.5	852.0
